trial_number,score,avg_pnl,avg_sharpe,avg_inventory_penalty,TOM_FAIR_ALPHA,TOM_PRESSURE_BETA,TOM_TAKE_EDGE,TOM_PASSIVE_EDGE
67,2570.0002758531655,2570.0,0.002758531656706364,0.0,0.09419324073241411,0.6097609059528573,0.5121584726902534,2
68,2499.0002637865705,2499.0,0.0026378657052246175,0.0,0.07979159558493452,0.7404963707146689,0.6174217520966261,2
69,231.0000257714945,231.0,0.0002577149449585307,0.0,0.2419186653593588,0.6704300392117286,0.7545466820190763,1
70,691.0000761174373,691.0,0.0007611743723274353,0.0,0.19609874341069916,0.8209741636753483,0.8113110432831079,2
71,2458.00025691916,2458.0,0.002569191602442174,0.0,0.06065405831177656,0.5183336695310047,0.6614047028178998,2
72,2796.000292834188,2796.0,0.0029283418778367704,0.0,0.05802877765846182,0.5675831363948743,0.5677703274451327,2
73,2510.0002684023248,2510.0,0.0026840232472353205,0.0,0.06616314174242982,0.6187229278999202,0.5765125949421771,2
74,1223.0001225785584,1223.0,0.0012257855839617573,0.0,0.05044004325809537,0.5714034993750395,1.9276753378527254,2
75,2598.0002782464903,2598.0,0.0027824649036308838,0.0,0.07226240803539534,0.7583131029898926,0.5512810313339725,2
76,2635.0002842754852,2635.0,0.0028427548545543477,0.0,0.09137990951929742,0.6564769418574894,0.5053238367379346,2
77,-191.000022065379,-191.0,-0.00022065378985490312,0.0,0.3582603858560639,1.055258249001543,0.6347632250729728,2
78,2256.000242638663,2256.0,0.002426386631374982,0.0,0.10941555247668149,0.7182493577859725,0.7153848622287261,0
79,2356.0002492238023,2356.0,0.002492238021400523,0.0,0.07966757022410137,0.9113946430079816,0.7880461197045479,2
80,2840.0002988715396,2840.0,0.0029887153980054583,0.0,0.05701483276513466,0.560531726469814,0.563787438253392,2
81,2780.0002919644617,2780.0,0.0029196446172541912,0.0,0.0583852094472125,0.5679798268444388,0.5556285717466232,2
82,2560.00027190052,2560.0,0.002719005203686701,0.0,0.0617203998132002,0.5545117636317525,0.5657277458913924,2
83,2524.0002678787637,2524.0,0.0026787876380254334,0.0,0.07272342904766962,0.5922095339802909,0.6556732503566373,2
84,2693.000283940768,2693.0,0.002839407679634792,0.0,0.05845330283952563,0.622542549219516,0.569523311970561,2
85,2758.000292538006,2758.0,0.002925380058697126,0.0,0.08621768722507875,0.5067355310821733,0.6168610370128181,2
